id,doi,title,journal,issue,volume,articleType,year
68051,10.1103/PhysRevA.41.1399,Lattice calculation of muon-pair production with capture in relativistic heavy-ion collisions,PRA,3,41,article,1990
68052,10.1103/PhysRevA.41.140,"Experimental and theoretical cross sections for electron-impact ionization of <span class=""aps-inline-formula""><math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mrow><msup><mrow><mi mathvariant=""normal"">Ti</mi></mrow><mrow><mn>5</mn><mo>+</mo></mrow></msup></mrow></math></span>",PRA,1,41,article,1990
68053,10.1103/PhysRevA.41.1408,"Charge-transfer reactions of ground-state <span class=""aps-inline-formula""><math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mrow><msup><mrow><mi mathvariant=""normal"">C</mi></mrow><mrow><mo>+</mo></mrow></msup></mrow></math></span><span class=""aps-inline-formula""><math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mrow><msup><mrow><mo>(</mo></mrow><mrow><mn>2</mn></mrow></msup></mrow></math></span>P) and metastable-state <span class=""aps-inline-formula""><math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mrow><msup><mrow><mi mathvariant=""normal"">C</mi></mrow><mrow><mo>+</mo></mrow></msup></mrow></math></span><span class=""aps-inline-formula""><math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mrow><msup><mrow><mo>(</mo></mrow><mrow><mn>4</mn></mrow></msup></mrow></math></span>P) ions with <span class=""aps-inline-formula""><math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mrow><msub><mrow><mi mathvariant=""normal"">H</mi></mrow><mrow><mn>2</mn></mrow></msub></mrow></math></span> molecules",PRA,3,41,article,1990
68054,10.1103/PhysRevA.41.1413,"Differential cross sections for electron-impact excitation of the electronic states of <span class=""aps-inline-formula""><math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mrow><msub><mrow><mi mathvariant=""normal"">N</mi></mrow><mrow><mn>2</mn></mrow></msub></mrow></math></span>",PRA,3,41,article,1990
68055,10.1103/PhysRevA.41.1427,Measurement and comparison with theory of the temperature dependence of satellite-to-resonance line ratios of heliumlike nickel from the JET tokamak,PRA,3,41,article,1990
68056,10.1103/PhysRevA.41.1435,Transport of fast electrons through thin foils,PRA,3,41,article,1990
68057,10.1103/PhysRevA.41.1444,"Analytical and algebraic solutions of the rotating Morse oscillators: Matrix elements of arbitrary powers of (r-<span class=""aps-inline-formula""><math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mrow><msub><mrow><mi>r</mi></mrow><mrow><mi>e</mi></mrow></msub></mrow></math></span><span class=""aps-inline-formula""><math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mrow><msup><mrow><mo>)</mo></mrow><mrow><mi>l</mi></mrow></msup></mrow></math></span>exp[-ma(r-<span class=""aps-inline-formula""><math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mrow><msub><mrow><mi>r</mi></mrow><mrow><mi>e</mi></mrow></msub></mrow></math></span>)]",PRA,3,41,article,1990
68058,10.1103/PhysRevA.41.145,Hyperradial adiabatic treatment of dμ+t collisions at low energies,PRA,1,41,article,1990
68059,10.1103/PhysRevA.41.1450,Beam-foil spectroscopy of <i>n=3</i> to <i>n=2</i> transitions in highly stripped bismuth,PRA,3,41,article,1990
68060,10.1103/PhysRevA.41.1457,"Collisional relaxation of the 6<i>s</i>[3/2<span class=""aps-inline-formula""><math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mrow><msubsup><mrow><mo>]</mo></mrow><mrow><mn>1</mn></mrow><mrow><mn>0</mn></mrow></msubsup></mrow></math></span> and 6s<span class="""">’</span>[1/2<span class=""aps-inline-formula""><math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mrow><msubsup><mrow><mo>]</mo></mrow><mrow><mn>1</mn></mrow><mrow><mn>0</mn></mrow></msubsup></mrow></math></span> <span class=""aps-inline-formula""><math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mrow><msub><mrow><mi>m</mi></mrow><mrow><mi>J</mi></mrow></msub></mrow></math></span> levels of xenon using resonantly enhanced multiphoton ionization",PRA,3,41,article,1990
